,Length,Frequency,Path,Part&under10,Part&10to30,Part&over30,NonPart&under10,NonPart&10to30,NonPart&over30,p
0,5,14,"(('exit', ('W_Validate application|suspend', 'W_Validate application|ate_abort')), ('enter', ('W_Validate application|ate_abort', 'W_Call incomplete files|schedule')), ('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')))",195,668,282,1904,4907,1436,1.4175582929709662e-10
1,5,14,"(('exit', ('W_Validate application|suspend', 'W_Validate application|ate_abort')), ('enter', ('W_Validate application|ate_abort', 'W_Call incomplete files|schedule')), ('exit', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('enter', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')))",195,668,282,1904,4907,1436,1.4175582929709662e-10
2,5,14,"(('exit', ('W_Validate application|suspend', 'W_Validate application|ate_abort')), ('enter', ('W_Validate application|ate_abort', 'W_Call incomplete files|schedule')), ('exit', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('enter', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')))",195,668,282,1904,4907,1436,1.4175582929709662e-10
3,5,14,"(('exit', ('W_Validate application|suspend', 'W_Validate application|ate_abort')), ('enter', ('W_Validate application|ate_abort', 'W_Call incomplete files|schedule')), ('exit', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')))",195,668,282,1904,4907,1436,1.4175582929709662e-10
4,5,14,"(('exit', ('W_Validate application|suspend', 'W_Validate application|ate_abort')), ('enter', ('W_Validate application|ate_abort', 'W_Call incomplete files|schedule')), ('exit', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')))",195,668,282,1904,4907,1436,1.4175582929709662e-10
5,5,14,"(('exit', ('W_Validate application|suspend', 'W_Validate application|ate_abort')), ('exit', ('W_Validate application|ate_abort', 'W_Call incomplete files|schedule')), ('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('enter', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')))",195,668,282,1904,4907,1436,1.4175582929709662e-10
6,5,14,"(('exit', ('W_Validate application|suspend', 'W_Validate application|ate_abort')), ('exit', ('W_Validate application|ate_abort', 'W_Call incomplete files|schedule')), ('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('enter', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')))",195,668,282,1904,4907,1436,1.4175582929709662e-10
7,5,14,"(('exit', ('W_Validate application|suspend', 'W_Validate application|ate_abort')), ('exit', ('W_Validate application|ate_abort', 'W_Call incomplete files|schedule')), ('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')))",195,668,282,1904,4907,1436,1.4175582929709662e-10
8,5,14,"(('exit', ('W_Validate application|suspend', 'W_Validate application|ate_abort')), ('exit', ('W_Validate application|ate_abort', 'W_Call incomplete files|schedule')), ('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')))",195,668,282,1904,4907,1436,1.4175582929709662e-10
9,5,14,"(('exit', ('W_Validate application|suspend', 'W_Validate application|ate_abort')), ('exit', ('W_Validate application|ate_abort', 'W_Call incomplete files|schedule')), ('exit', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('enter', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')))",195,668,282,1904,4907,1436,1.4175582929709662e-10
10,5,14,"(('exit', ('W_Validate application|suspend', 'W_Validate application|ate_abort')), ('exit', ('W_Validate application|ate_abort', 'W_Call incomplete files|schedule')), ('exit', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('enter', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')))",195,668,282,1904,4907,1436,1.4175582929709662e-10
11,5,14,"(('exit', ('W_Validate application|suspend', 'W_Validate application|ate_abort')), ('exit', ('W_Validate application|ate_abort', 'W_Call incomplete files|schedule')), ('exit', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')))",195,668,282,1904,4907,1436,1.4175582929709662e-10
12,5,14,"(('exit', ('W_Validate application|suspend', 'W_Validate application|ate_abort')), ('exit', ('W_Validate application|ate_abort', 'W_Call incomplete files|schedule')), ('exit', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')))",195,668,282,1904,4907,1436,1.4175582929709662e-10
13,4,14,"(('exit', ('W_Validate application|ate_abort', 'W_Call incomplete files|schedule')), ('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('enter', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')))",197,678,286,1927,4972,1453,8.259826156375993e-11
14,4,14,"(('exit', ('W_Validate application|ate_abort', 'W_Call incomplete files|schedule')), ('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('enter', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')))",197,678,286,1927,4972,1453,8.259826156375993e-11
15,4,14,"(('exit', ('W_Validate application|ate_abort', 'W_Call incomplete files|schedule')), ('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')))",197,678,286,1927,4972,1453,8.259826156375993e-11
16,4,14,"(('exit', ('W_Validate application|ate_abort', 'W_Call incomplete files|schedule')), ('enter', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('exit', ('W_Call incomplete files|start', 'A_Incomplete')), ('exit', ('A_Incomplete', 'W_Call incomplete files|suspend')))",197,678,286,1927,4972,1453,8.259826156375993e-11
17,4,14,"(('exit', ('W_Validate application|ate_abort', 'W_Call incomplete files|schedule')), ('exit', ('W_Call incomplete files|schedule', 'W_Call incomplete files|start')), ('enter', ('W_Call incomplete files|start', 'A_Incomplete')), ('enter', ('A_Incomplete', 'W_Call incomplete files|suspend')))",197,678,286,1927,4972,1453,8.259826156375993e-11
