case,concept:name,entity,time:timestamp,value
0_1,to-exec-High-W_Handle leads,activity,2015-12-31 00:00:00+00:00,45.0
0_1,to-exec-High-W_Complete application,activity,2015-12-31 00:00:00+00:00,40.0
0_1,busy-High-User_1,resource,2015-12-31 00:00:00+00:00,126.0
0_1,"workload-High-(A_Create Application,A_Submitted)",segment,2015-12-31 00:00:00+00:00,22.0
0_1,"workload-High-(W_Complete application,A_Concept)",segment,2015-12-31 00:00:00+00:00,20.0
0_1,"workload-High-(W_Handle leads,W_Complete application)",segment,2015-12-31 00:00:00+00:00,20.0
0_1,"workload-High-(A_Submitted,W_Handle leads)",segment,2015-12-31 00:00:00+00:00,22.0
0_1,"workload-High-(W_Handle leads,W_Handle leads)",segment,2015-12-31 00:00:00+00:00,20.0
0_1,to-exec-High-A_Complete,activity,2016-01-01 00:00:00+00:00,25.0
0_1,to-exec-High-O_Sent (mail and online),activity,2016-01-01 00:00:00+00:00,30.0
0_1,to-exec-High-W_Handle leads,activity,2016-01-01 00:00:00+00:00,63.0
0_1,to-exec-High-A_Submitted,activity,2016-01-01 00:00:00+00:00,29.0
0_1,to-exec-High-W_Call after offers,activity,2016-01-01 00:00:00+00:00,96.0
0_1,to-exec-High-W_Complete application,activity,2016-01-01 00:00:00+00:00,197.0
0_1,to-exec-High-O_Create Offer,activity,2016-01-01 00:00:00+00:00,33.0
0_1,to-exec-High-A_Create Application,activity,2016-01-01 00:00:00+00:00,47.0
0_1,to-exec-High-A_Accepted,activity,2016-01-01 00:00:00+00:00,28.0
0_1,to-exec-High-A_Concept,activity,2016-01-01 00:00:00+00:00,45.0
0_1,do-High-User_1,resource,2016-01-01 00:00:00+00:00,150.0
0_1,do-High-User_17,resource,2016-01-01 00:00:00+00:00,140.0
0_1,busy-High-User_1,resource,2016-01-01 00:00:00+00:00,150.0
0_1,busy-High-User_17,resource,2016-01-01 00:00:00+00:00,140.0
0_1,"workload-High-(W_Complete application,W_Complete application)",segment,2016-01-01 00:00:00+00:00,10.6
0_1,"workload-High-(A_Create Application,A_Submitted)",segment,2016-01-01 00:00:00+00:00,28.0
0_1,"workload-High-(W_Handle leads,W_Complete application)",segment,2016-01-01 00:00:00+00:00,13.0
0_1,"workload-High-(A_Submitted,W_Handle leads)",segment,2016-01-01 00:00:00+00:00,28.0
0_1,"workload-High-(W_Handle leads,W_Handle leads)",segment,2016-01-01 00:00:00+00:00,13.0
0_1,to-exec-High-W_Handle leads,activity,2016-01-02 00:00:00+00:00,79.0
0_1,to-exec-High-A_Submitted,activity,2016-01-02 00:00:00+00:00,38.0
0_1,to-exec-High-W_Call after offers,activity,2016-01-02 00:00:00+00:00,24.0
0_1,to-exec-High-W_Complete application,activity,2016-01-02 00:00:00+00:00,104.0
0_1,to-exec-High-A_Create Application,activity,2016-01-02 00:00:00+00:00,38.0
0_1,to-exec-High-A_Concept,activity,2016-01-02 00:00:00+00:00,33.0
0_1,do-High-User_1,resource,2016-01-02 00:00:00+00:00,207.0
0_1,busy-High-User_1,resource,2016-01-02 00:00:00+00:00,207.0
0_1,"workload-High-(A_Create Application,A_Submitted)",segment,2016-01-02 00:00:00+00:00,37.0
0_1,"workload-High-(W_Complete application,A_Concept)",segment,2016-01-02 00:00:00+00:00,32.0
0_1,"workload-High-(W_Handle leads,W_Complete application)",segment,2016-01-02 00:00:00+00:00,32.0
0_1,"workload-High-(A_Submitted,W_Handle leads)",segment,2016-01-02 00:00:00+00:00,37.0
0_1,"workload-High-(W_Handle leads,W_Handle leads)",segment,2016-01-02 00:00:00+00:00,32.0
0_1,exec-High-W_Handle leads,activity,2016-01-03 00:00:00+00:00,176.0
0_1,exec-High-W_Call after offers,activity,2016-01-03 00:00:00+00:00,324.0
0_1,exec-High-W_Complete application,activity,2016-01-03 00:00:00+00:00,635.0
0_1,to-exec-High-A_Complete,activity,2016-01-03 00:00:00+00:00,109.0
0_1,to-exec-High-O_Sent (mail and online),activity,2016-01-03 00:00:00+00:00,117.0
0_1,to-exec-High-W_Handle leads,activity,2016-01-03 00:00:00+00:00,182.0
0_1,to-exec-High-A_Submitted,activity,2016-01-03 00:00:00+00:00,69.0
0_1,to-exec-High-W_Call after offers,activity,2016-01-03 00:00:00+00:00,427.0
0_1,to-exec-High-W_Complete application,activity,2016-01-03 00:00:00+00:00,715.0
0_1,to-exec-High-O_Create Offer,activity,2016-01-03 00:00:00+00:00,149.0
0_1,to-exec-High-A_Create Application,activity,2016-01-03 00:00:00+00:00,122.0
0_1,to-exec-High-O_Created,activity,2016-01-03 00:00:00+00:00,124.0
0_1,to-exec-High-A_Accepted,activity,2016-01-03 00:00:00+00:00,120.0
0_1,to-exec-High-A_Concept,activity,2016-01-03 00:00:00+00:00,126.0
0_1,do-High-User_1,resource,2016-01-03 00:00:00+00:00,377.0
0_1,do-High-User_15,resource,2016-01-03 00:00:00+00:00,156.0
0_1,do-High-User_16,resource,2016-01-03 00:00:00+00:00,226.0
0_1,do-High-User_19,resource,2016-01-03 00:00:00+00:00,165.0
0_1,todo-High-User_15,resource,2016-01-03 00:00:00+00:00,47.0
0_1,busy-High-User_1,resource,2016-01-03 00:00:00+00:00,377.0
0_1,busy-High-User_15,resource,2016-01-03 00:00:00+00:00,203.0
0_1,busy-High-User_89,resource,2016-01-03 00:00:00+00:00,110.0
0_1,busy-High-User_16,resource,2016-01-03 00:00:00+00:00,243.0
0_1,busy-High-User_19,resource,2016-01-03 00:00:00+00:00,170.0
0_1,busy-High-User_43,resource,2016-01-03 00:00:00+00:00,118.0
0_1,"enter-High-(W_Complete application,W_Complete application)",segment,2016-01-03 00:00:00+00:00,319.0
0_1,"enter-High-(A_Concept,W_Complete application)",segment,2016-01-03 00:00:00+00:00,100.0
0_1,"enter-High-(W_Call after offers,A_Complete)",segment,2016-01-03 00:00:00+00:00,108.0
0_1,"enter-High-(W_Call after offers,W_Call after offers)",segment,2016-01-03 00:00:00+00:00,186.0
0_1,"enter-High-(O_Created,O_Sent (mail and online))",segment,2016-01-03 00:00:00+00:00,108.0
0_1,"enter-High-(O_Sent (mail and online),W_Complete application)",segment,2016-01-03 00:00:00+00:00,107.0
0_1,"enter-High-(W_Complete application,A_Concept)",segment,2016-01-03 00:00:00+00:00,100.0
0_1,"enter-High-(A_Accepted,O_Create Offer)",segment,2016-01-03 00:00:00+00:00,97.0
0_1,"enter-High-(W_Complete application,A_Accepted)",segment,2016-01-03 00:00:00+00:00,93.0
0_1,"enter-High-(A_Complete,W_Call after offers)",segment,2016-01-03 00:00:00+00:00,107.0
0_1,"enter-High-(O_Create Offer,O_Created)",segment,2016-01-03 00:00:00+00:00,123.0
0_1,"enter-High-(W_Handle leads,W_Handle leads)",segment,2016-01-03 00:00:00+00:00,104.0
0_1,"enter-High-(W_Complete application,W_Call after offers)",segment,2016-01-03 00:00:00+00:00,108.0
0_1,"exit-High-(W_Complete application,W_Complete application)",segment,2016-01-03 00:00:00+00:00,299.0
0_1,"exit-High-(A_Concept,W_Complete application)",segment,2016-01-03 00:00:00+00:00,112.0
0_1,"exit-High-(W_Call after offers,A_Complete)",segment,2016-01-03 00:00:00+00:00,108.0
0_1,"exit-High-(W_Call after offers,W_Call after offers)",segment,2016-01-03 00:00:00+00:00,108.0
0_1,"exit-High-(O_Created,O_Sent (mail and online))",segment,2016-01-03 00:00:00+00:00,108.0
0_1,"exit-High-(O_Sent (mail and online),W_Complete application)",segment,2016-01-03 00:00:00+00:00,107.0
0_1,"exit-High-(W_Complete application,A_Concept)",segment,2016-01-03 00:00:00+00:00,100.0
0_1,"exit-High-(A_Accepted,O_Create Offer)",segment,2016-01-03 00:00:00+00:00,97.0
0_1,"exit-High-(W_Complete application,A_Accepted)",segment,2016-01-03 00:00:00+00:00,84.0
0_1,"exit-High-(A_Complete,W_Call after offers)",segment,2016-01-03 00:00:00+00:00,107.0
0_1,"exit-High-(O_Create Offer,O_Created)",segment,2016-01-03 00:00:00+00:00,123.0
0_1,"exit-High-(W_Handle leads,W_Handle leads)",segment,2016-01-03 00:00:00+00:00,108.0
0_1,"exit-High-(W_Complete application,W_Call after offers)",segment,2016-01-03 00:00:00+00:00,108.0
0_1,"cross-High-(W_Complete application,W_Complete application)",segment,2016-01-03 00:00:00+00:00,335.0
0_1,"cross-High-(A_Concept,W_Complete application)",segment,2016-01-03 00:00:00+00:00,155.0
0_1,"cross-High-(W_Call after offers,A_Complete)",segment,2016-01-03 00:00:00+00:00,108.0
0_1,"cross-High-(W_Call after offers,W_Call after offers)",segment,2016-01-03 00:00:00+00:00,207.0
0_1,"cross-High-(O_Created,O_Sent (mail and online))",segment,2016-01-03 00:00:00+00:00,108.0
0_1,"cross-High-(O_Sent (mail and online),W_Complete application)",segment,2016-01-03 00:00:00+00:00,107.0
0_1,"cross-High-(W_Complete application,A_Concept)",segment,2016-01-03 00:00:00+00:00,100.0
0_1,"cross-High-(A_Accepted,O_Create Offer)",segment,2016-01-03 00:00:00+00:00,97.0
0_1,"cross-High-(W_Complete application,A_Accepted)",segment,2016-01-03 00:00:00+00:00,93.0
0_1,"cross-High-(A_Complete,W_Call after offers)",segment,2016-01-03 00:00:00+00:00,107.0
0_1,"cross-High-(O_Create Offer,O_Created)",segment,2016-01-03 00:00:00+00:00,123.0
0_1,"cross-High-(W_Handle leads,W_Handle leads)",segment,2016-01-03 00:00:00+00:00,113.0
0_1,"cross-High-(W_Complete application,W_Call after offers)",segment,2016-01-03 00:00:00+00:00,108.0
0_1,"workload-High-(W_Complete application,W_Complete application)",segment,2016-01-03 00:00:00+00:00,10.181818181818182
0_1,"workload-High-(A_Create Application,A_Submitted)",segment,2016-01-03 00:00:00+00:00,68.0
0_1,"workload-High-(W_Handle leads,W_Complete application)",segment,2016-01-03 00:00:00+00:00,14.4
0_1,"workload-High-(A_Submitted,W_Handle leads)",segment,2016-01-03 00:00:00+00:00,68.0
0_1,"workload-High-(W_Handle leads,W_Handle leads)",segment,2016-01-03 00:00:00+00:00,13.666666666666666
0_1,exec-High-W_Call after offers,activity,2016-01-04 00:00:00+00:00,269.0
0_1,exec-High-W_Complete application,activity,2016-01-04 00:00:00+00:00,500.0
0_1,to-exec-High-A_Complete,activity,2016-01-04 00:00:00+00:00,89.0
0_1,to-exec-High-O_Sent (mail and online),activity,2016-01-04 00:00:00+00:00,118.0
0_1,to-exec-High-W_Handle leads,activity,2016-01-04 00:00:00+00:00,169.0
0_1,to-exec-High-A_Submitted,activity,2016-01-04 00:00:00+00:00,70.0
0_1,to-exec-High-W_Call after offers,activity,2016-01-04 00:00:00+00:00,472.0
0_1,to-exec-High-W_Complete application,activity,2016-01-04 00:00:00+00:00,582.0
0_1,to-exec-High-O_Create Offer,activity,2016-01-04 00:00:00+00:00,141.0
0_1,to-exec-High-A_Create Application,activity,2016-01-04 00:00:00+00:00,100.0
0_1,to-exec-High-O_Created,activity,2016-01-04 00:00:00+00:00,128.0
0_1,to-exec-High-A_Accepted,activity,2016-01-04 00:00:00+00:00,106.0
0_1,to-exec-High-A_Concept,activity,2016-01-04 00:00:00+00:00,100.0
0_1,do-High-User_1,resource,2016-01-04 00:00:00+00:00,379.0
0_1,do-High-User_24,resource,2016-01-04 00:00:00+00:00,164.0
0_1,do-High-User_3,resource,2016-01-04 00:00:00+00:00,205.0
0_1,do-High-User_4,resource,2016-01-04 00:00:00+00:00,139.0
0_1,todo-High-User_15,resource,2016-01-04 00:00:00+00:00,85.0
0_1,busy-High-User_1,resource,2016-01-04 00:00:00+00:00,379.0
0_1,busy-High-User_24,resource,2016-01-04 00:00:00+00:00,173.0
0_1,busy-High-User_37,resource,2016-01-04 00:00:00+00:00,120.0
0_1,busy-High-User_3,resource,2016-01-04 00:00:00+00:00,205.0
0_1,busy-High-User_10,resource,2016-01-04 00:00:00+00:00,107.0
0_1,busy-High-User_71,resource,2016-01-04 00:00:00+00:00,132.0
0_1,busy-High-User_4,resource,2016-01-04 00:00:00+00:00,141.0
0_1,"enter-High-(W_Complete application,W_Complete application)",segment,2016-01-04 00:00:00+00:00,241.0
0_1,"enter-High-(W_Call after offers,A_Complete)",segment,2016-01-04 00:00:00+00:00,88.0
0_1,"enter-High-(W_Call after offers,W_Call after offers)",segment,2016-01-04 00:00:00+00:00,171.0
0_1,"enter-High-(O_Created,O_Sent (mail and online))",segment,2016-01-04 00:00:00+00:00,108.0
0_1,"enter-High-(O_Sent (mail and online),W_Complete application)",segment,2016-01-04 00:00:00+00:00,88.0
0_1,"enter-High-(W_Complete application,A_Concept)",segment,2016-01-04 00:00:00+00:00,91.0
0_1,"enter-High-(A_Complete,W_Call after offers)",segment,2016-01-04 00:00:00+00:00,83.0
0_1,"enter-High-(O_Create Offer,O_Created)",segment,2016-01-04 00:00:00+00:00,127.0
0_1,"enter-High-(W_Handle leads,W_Handle leads)",segment,2016-01-04 00:00:00+00:00,94.0
0_1,"enter-High-(W_Complete application,W_Call after offers)",segment,2016-01-04 00:00:00+00:00,88.0
0_1,"exit-High-(W_Complete application,W_Complete application)",segment,2016-01-04 00:00:00+00:00,248.0
